,player,point_line,points_probability,3P_line,3P_probability,assist_line,assist_probability,rebound_line,rebound_probability,steal_line,steal_probability,block_line,block_probability
0,Alfonzo McKinnie\mckinal01,4,0.56,1,0.64,0,0.99,1,0.4,0,0.91,0,0.99
1,Bruno Caboclo\cabocbr01,4,0.48,0,0.47,0,0.98,2,0.51,0,0.69,0,1.0
2,C.J. Miles\milescj01,8,0.45,4,0.47,0,0.78,2,0.68,0,0.67,0,0.96
3,DeMar DeRozan\derozde01,14,0.51,2,0.64,0,0.31,3,0.55,0,0.4,0,1.0
4,Delon Wright\wrighde01,6,0.43,1,0.41,1,0.69,2,0.54,0,0.54,0,0.96
5,Fred VanVleet\vanvlfr01,6,0.48,2,0.41,0,0.38,2,0.62,0,0.63,0,0.96
6,Jakob Pöltl\poeltja01,6,0.5,0,0.99,0,0.9,4,0.44,0,0.85,0,0.59
7,Jonas Valančiūnas\valanjo01,8,0.53,0,0.95,0,0.8,6,0.45,0,0.85,0,0.46
8,Kyle Lowry\lowryky01,14,0.53,5,0.48,2,0.64,3,0.48,0,0.36,0,0.99
9,Lorenzo Brown\brownlo01,6,0.55,0,0.38,0,0.42,1,0.44,0,0.56,0,0.93
10,Lucas Nogueira\noguelu01,3,0.46,0,0.9,0,0.79,3,0.43,0,0.73,0,0.53
11,Malachi Richardson\richama01,6,0.56,1,0.42,0,0.56,1,0.43,0,0.75,0,1.0
12,Malcolm Miller\millema01,4,0.49,1,0.52,0,0.96,1,0.37,0,0.92,0,0.97
13,Nigel Hayes\hayesni01,7,0.52,1,0.41,0,0.88,2,0.44,0,0.84,0,0.97
14,Norman Powell\powelno01,7,0.49,1,0.34,0,0.47,2,0.62,0,0.57,0,1.0
15,OG Anunoby\anunoog01,7,0.52,2,0.39,0,0.91,2,0.45,0,0.66,0,0.98
16,Pascal Siakam\siakapa01,6,0.52,1,0.66,0,0.71,4,0.58,0,0.6,0,0.81
17,Serge Ibaka\ibakase01,12,0.48,1,0.38,0,0.73,6,0.51,0,0.82,0,0.38
