,player,point_line,points_probability,3P_line,3P_probability,assist_line,assist_probability,rebound_line,rebound_probability,steal_line,steal_probability,block_line,block_probability
0,Andre Iguodala\iguodan01,8,0.52,2,0.43,0,0.34,2,0.37,0,0.6,0,0.87
1,Damian Jones\jonesda03,4,0.52,0,0.93,0,0.95,3,0.54,0,0.97,0,0.86
2,David West\westda01,7,0.52,0,0.9,0,0.46,4,0.48,0,0.74,0,0.51
3,Draymond Green\greendr01,9,0.46,2,0.49,1,0.61,5,0.5,0,0.46,0,0.56
4,JaVale McGee\mcgeeja01,7,0.5,0,0.99,0,0.9,4,0.45,0,0.91,0,0.47
5,Jordan Bell\belljo01,6,0.5,0,0.48,0,0.63,4,0.58,0,0.64,0,0.55
6,Kevin Durant\duranke01,19,0.52,5,0.52,1,0.51,5,0.5,0,0.5,0,0.5
7,Kevon Looney\looneke01,4,0.46,0,0.78,0,0.87,3,0.43,0,0.87,0,0.66
8,Klay Thompson\thompkl01,15,0.49,7,0.49,0,0.42,2,0.36,0,0.69,0,0.83
9,Nick Young\youngni01,10,0.51,5,0.51,0,0.71,2,0.56,0,0.74,0,0.94
10,Omri Casspi\casspom01,8,0.55,2,0.58,0,0.72,4,0.61,0,0.68,0,0.89
11,Patrick McCaw\mccawpa01,6,0.49,1,0.46,0,0.37,2,0.63,0,0.73,0,0.96
12,Quinn Cook\cookqu01,8,0.51,2,0.44,0,0.37,1,0.44,0,0.81,0,0.99
13,Shaun Livingston\livinsh01,6,0.46,0,0.42,0,0.31,1,0.33,0,0.7,0,0.97
14,Stephen Curry\curryst01,18,0.53,8,0.54,2,0.64,3,0.52,0,0.3,0,0.98
15,Zaza Pachulia\pachuza01,6,0.47,0,0.97,0,0.56,6,0.51,0,0.57,0,0.59
